id,calendar_date,week_day,holiday
47104,1/16/2019,Wednesday,0
47105,1/17/2019,Thursday,0
47106,1/18/2019,Friday,0
47107,1/19/2019,Saturday,0
47108,1/20/2019,Sunday,0
47109,1/21/2019,Monday,0
47110,1/22/2019,Tuesday,0
47111,1/23/2019,Wednesday,0
47112,1/24/2019,Thursday,0
47113,1/25/2019,Friday,0
47114,1/26/2019,Saturday,0
47115,1/27/2019,Sunday,0
47116,1/28/2019,Monday,0
47117,1/29/2019,Tuesday,0
47118,1/30/2019,Wednesday,0
47119,1/31/2019,Thursday,0
47120,2/1/2019,Friday,0
47121,2/2/2019,Saturday,0
47122,2/3/2019,Sunday,0
47123,2/4/2019,Monday,0
47124,2/5/2019,Tuesday,0
47125,2/6/2019,Wednesday,0
47126,2/7/2019,Thursday,0
47127,2/8/2019,Friday,0
47128,2/9/2019,Saturday,0
47129,2/10/2019,Sunday,0
47130,2/11/2019,Monday,0
47131,2/12/2019,Tuesday,0
47132,2/13/2019,Wednesday,0
47133,2/14/2019,Thursday,0
47134,2/15/2019,Friday,0
47135,2/16/2019,Saturday,0
47136,2/17/2019,Sunday,0
47137,2/18/2019,Monday,0
47138,2/19/2019,Tuesday,0
47139,2/20/2019,Wednesday,0
47140,2/21/2019,Thursday,0
47141,2/22/2019,Friday,0
47142,2/23/2019,Saturday,0
47143,2/24/2019,Sunday,0
47144,2/25/2019,Monday,0
47145,2/26/2019,Tuesday,0
47146,2/27/2019,Wednesday,0
47147,2/28/2019,Thursday,0
47148,3/1/2019,Friday,0
47149,3/2/2019,Saturday,0
47150,3/3/2019,Sunday,0
47151,3/4/2019,Monday,0
47152,3/5/2019,Tuesday,1
47153,3/6/2019,Wednesday,0
47154,3/7/2019,Thursday,0
47155,3/8/2019,Friday,0
47156,3/9/2019,Saturday,0
47157,3/10/2019,Sunday,0
47158,3/11/2019,Monday,0
47159,3/12/2019,Tuesday,0
47160,3/13/2019,Wednesday,0
47161,3/14/2019,Thursday,0
47162,3/15/2019,Friday,0
47163,3/16/2019,Saturday,0
47164,3/17/2019,Sunday,0
47165,3/18/2019,Monday,0
47166,3/19/2019,Tuesday,0
47167,3/20/2019,Wednesday,0
47168,3/21/2019,Thursday,0
47169,3/22/2019,Friday,0
47170,3/23/2019,Saturday,0
